startup,sector,subsector,city,investor,investmenttype,amountinusd,date
"Rivera, Weber and Baker",HealthTech,HealthTech Services,Noida,"Investor_1, Investor_75",Seed,1312239.78,2004-05-19
Davis-Nelson,AgriTech,AgriTech Services,Pune,Investor_76,Series C,20988137.91,2007-01-22
"Young, Smith and Perez",AI/ML,AI/ML Services,Delhi,"Investor_25, Investor_1, Investor_64",Pre-Seed,239596.54,2003-07-08
White-Obrien,EdTech,EdTech Services,Hyderabad,Investor_6,Series B,1589584.46,2014-10-04
Carter and Sons,AgriTech,AgriTech Services,Delhi,"Investor_12, Investor_62",Pre-Seed,8593208.29,2017-09-25
Vaughn PLC,FinTech,FinTech Services,Ahmedabad,"Investor_25, Investor_97, Investor_99",Seed,1854214.03,2018-02-13
"Jones, Webb and Reyes",AgriTech,AgriTech Services,Noida,Investor_78,Seed,23430112.14,2012-05-19
Tucker LLC,FoodTech,FoodTech Services,Kolkata,Investor_91,Series D+,11444366.64,2011-05-14
"Anderson, Smith and Gray",AI/ML,AI/ML Services,Noida,"Investor_27, Investor_23",Series D+,592280.55,2007-12-11
Sharp Group,Logistics,Logistics Services,Mumbai,"Investor_29, Investor_49",Series B,757985.23,2019-12-22
Jenkins-Whitaker,SaaS,SaaS Services,Mumbai,"Investor_4, Investor_27, Investor_92",Series C,74720.88,2012-08-26
Martin Ltd,FinTech,FinTech Services,Ahmedabad,"Investor_52, Investor_35",Series D+,772826.72,2014-11-03
Nielsen Inc,CleanTech,CleanTech Services,Ahmedabad,"Investor_46, Investor_15",Series C,2005680.43,2021-10-14
Martinez-Thompson,AI/ML,AI/ML Services,Noida,Investor_46,Series C,7160581.04,2021-05-20
Tanner LLC,HealthTech,HealthTech Services,Mumbai,Investor_81,Pre-Seed,2561068.05,2016-11-22
Adams Group,EdTech,EdTech Services,Noida,Investor_1,Pre-Seed,15441837.89,2020-11-09
Bennett-Acosta,Logistics,Logistics Services,Bengaluru,"Investor_92, Investor_41, Investor_17",Seed,1774625.97,2004-01-07
Morgan-Smith,EdTech,EdTech Services,Chennai,"Investor_56, Investor_99",Seed,11105959.69,2012-12-23
"Santiago, Taylor and Hardy",AI/ML,AI/ML Services,Ahmedabad,Investor_16,Pre-Seed,353457.69,2020-11-13
"Long, Chavez and Martinez",FinTech,FinTech Services,Bengaluru,"Investor_17, Investor_19, Investor_6",Series D+,989455.9,2022-12-09
Diaz PLC,SaaS,SaaS Services,Delhi,"Investor_86, Investor_39, Investor_38",Seed,11114414.84,2016-10-18
Booth Inc,E-Commerce,E-Commerce Services,Noida,"Investor_46, Investor_29, Investor_96",Series A,65635421.33,2015-07-11
"Mcdonald, Johnson and Miller",HealthTech,HealthTech Services,Ahmedabad,"Investor_1, Investor_25",Seed,1016326.49,2005-11-10
Rodriguez-Warren,E-Commerce,E-Commerce Services,Ahmedabad,"Investor_37, Investor_19",Seed,5935828.63,2005-07-17
Bennett-Morrow,HealthTech,HealthTech Services,Hyderabad,Investor_5,Series A,366917.13,2020-10-06
"French, Rojas and Brown",HealthTech,HealthTech Services,Noida,Investor_76,Pre-Seed,527213.94,2017-06-25
Allen Group,AI/ML,AI/ML Services,Chennai,"Investor_27, Investor_43, Investor_16",Series A,177956.69,2022-06-01
"Hunt, Alvarez and Garcia",FinTech,FinTech Services,Bengaluru,"Investor_84, Investor_68",Pre-Seed,4326063.45,2004-04-15
"Young, Lowe and Garza",E-Commerce,E-Commerce Services,Hyderabad,Investor_6,Series D+,6020375.52,2018-10-03
Dunn and Sons,AgriTech,AgriTech Services,Mumbai,Investor_50,Series B,290595.47,2003-05-03
"Hudson, Lara and Jefferson",FoodTech,FoodTech Services,Hyderabad,Investor_92,Series C,397730.42,2010-04-28
"Ward, Mckenzie and Watson",FinTech,FinTech Services,Hyderabad,"Investor_68, Investor_60, Investor_45",Series A,1324862.83,2004-12-01
Lopez-Sanchez,E-Commerce,E-Commerce Services,Noida,Investor_32,Pre-Seed,414873.67,2003-04-13
Morales PLC,AgriTech,AgriTech Services,Bengaluru,"Investor_22, Investor_95, Investor_83",Pre-Seed,1277572.73,2021-11-05
"Davis, Patterson and Payne",AI/ML,AI/ML Services,Gurgaon,"Investor_100, Investor_96, Investor_74",Pre-Seed,1604707.09,2021-02-03
"Reid, Swanson and Thomas",AI/ML,AI/ML Services,Ahmedabad,Investor_10,Series D+,5881397.85,2020-03-15
"Carter, Hughes and Winters",SaaS,SaaS Services,Pune,"Investor_94, Investor_18, Investor_60",Seed,1433791.69,2020-09-12
Maldonado Inc,Logistics,Logistics Services,Ahmedabad,"Investor_28, Investor_61",Pre-Seed,4546391.91,2004-07-13
Rivera LLC,FoodTech,FoodTech Services,Chennai,"Investor_28, Investor_12, Investor_49",Pre-Seed,4528474.81,2007-06-09
May-Pitts,HealthTech,HealthTech Services,Pune,"Investor_8, Investor_92",Series C,1068315.95,2012-10-06
Ibarra-Thomas,EdTech,EdTech Services,Pune,"Investor_32, Investor_64, Investor_65",Series B,1211572.37,2003-08-02
Johnson-Gomez,FinTech,FinTech Services,Pune,Investor_21,Series A,6303755.23,2003-03-02
Douglas Ltd,E-Commerce,E-Commerce Services,Hyderabad,"Investor_98, Investor_70, Investor_89",Series A,160178.68,2003-08-11
Gardner-Rodriguez,AgriTech,AgriTech Services,Ahmedabad,"Investor_64, Investor_74",Series A,614804.55,2022-10-12
Thompson Ltd,CleanTech,CleanTech Services,Gurgaon,Investor_89,Series C,2055095.01,2012-05-02
Rivera-Anderson,FoodTech,FoodTech Services,Noida,"Investor_72, Investor_36",Series D+,1338367.32,2003-06-08
Bailey Ltd,FinTech,FinTech Services,Ahmedabad,"Investor_97, Investor_91, Investor_65",Series D+,9799268.1,2012-03-14
Dunn PLC,EdTech,EdTech Services,Hyderabad,"Investor_77, Investor_76",Seed,6121358.33,2006-06-27
Charles-Gonzales,AgriTech,AgriTech Services,Hyderabad,"Investor_25, Investor_71",Seed,4561006.87,2006-05-19
Campbell-Rivera,CleanTech,CleanTech Services,Ahmedabad,"Investor_9, Investor_64, Investor_21",Series D+,726644.15,2017-10-01
Potter and Sons,HealthTech,HealthTech Services,Mumbai,"Investor_65, Investor_28, Investor_99",Series D+,57098243.46,2019-10-21
Scott-Dawson,HealthTech,HealthTech Services,Mumbai,"Investor_6, Investor_51",Seed,148320.11,2016-08-21
"Garza, Hernandez and Payne",AI/ML,AI/ML Services,Pune,Investor_85,Series C,1498005.89,2005-09-11
Simmons-Alvarado,AgriTech,AgriTech Services,Ahmedabad,Investor_52,Pre-Seed,7349767.36,2016-05-09
Ross-Rodriguez,AgriTech,AgriTech Services,Mumbai,Investor_22,Series C,5002009.5,2022-12-27
Benson Inc,E-Commerce,E-Commerce Services,Noida,Investor_34,Series C,88467.83,2009-11-22
"Gallagher, Gray and Yu",AgriTech,AgriTech Services,Gurgaon,"Investor_100, Investor_97, Investor_29",Pre-Seed,2542832.06,2010-04-21
Flores-Mosley,SaaS,SaaS Services,Ahmedabad,"Investor_87, Investor_90, Investor_84",Series D+,2385741.12,2017-04-15
Oconnell PLC,AgriTech,AgriTech Services,Noida,Investor_81,Pre-Seed,542597.9,2003-07-03
Carpenter-Green,AgriTech,AgriTech Services,Chennai,Investor_83,Series B,3469184.48,2010-03-09
Cortez Group,EdTech,EdTech Services,Mumbai,"Investor_98, Investor_94",Pre-Seed,1024010.43,2021-05-22
Garza Ltd,E-Commerce,E-Commerce Services,Hyderabad,"Investor_53, Investor_42",Series A,221610.37,2008-04-11
"Wells, Johnson and Palmer",Logistics,Logistics Services,Delhi,"Investor_61, Investor_97",Series A,798154.49,2008-03-03
Jones-Jackson,AI/ML,AI/ML Services,Bengaluru,"Investor_8, Investor_29",Series C,218887.18,2019-01-06
"Wiley, Farmer and Herrera",FoodTech,FoodTech Services,Bengaluru,"Investor_18, Investor_96, Investor_76",Pre-Seed,211583.84,2019-01-02
"Caldwell, Steele and Figueroa",AgriTech,AgriTech Services,Pune,"Investor_70, Investor_87, Investor_36",Series C,306252.71,2019-12-06
King PLC,HealthTech,HealthTech Services,Delhi,Investor_34,Seed,2101639.5,2004-03-24
"Ellis, Jackson and Morris",Logistics,Logistics Services,Mumbai,"Investor_83, Investor_73",Series C,1781469.3,2015-07-03
Guzman Group,FinTech,FinTech Services,Gurgaon,"Investor_3, Investor_100",Series C,1520758.56,2010-01-07
Mcbride-Hart,EdTech,EdTech Services,Mumbai,"Investor_93, Investor_20, Investor_95",Series A,4318708.6,2022-02-09
"Reed, Torres and Mayer",AI/ML,AI/ML Services,Noida,"Investor_37, Investor_34",Series B,1894567.38,2009-10-27
Curtis PLC,E-Commerce,E-Commerce Services,Gurgaon,"Investor_27, Investor_62, Investor_11",Series D+,891036.98,2014-11-28
Harris-Adams,FoodTech,FoodTech Services,Delhi,"Investor_47, Investor_95",Series C,3132963.51,2019-05-10
"Thompson, Schneider and Walker",AI/ML,AI/ML Services,Pune,Investor_51,Series D+,232478.83,2011-01-15
Flynn-Cole,CleanTech,CleanTech Services,Ahmedabad,"Investor_93, Investor_41, Investor_3",Series C,37331827.71,2016-01-01
Arnold-Ramirez,HealthTech,HealthTech Services,Gurgaon,Investor_17,Seed,1328361.38,2015-09-27
Brown LLC,SaaS,SaaS Services,Delhi,"Investor_63, Investor_55",Pre-Seed,3675426.58,2008-12-15
Parker-Grant,CleanTech,CleanTech Services,Delhi,"Investor_74, Investor_32",Series A,164879.53,2012-06-03
"Ayers, Miller and Dominguez",HealthTech,HealthTech Services,Delhi,"Investor_67, Investor_38",Series C,902249.15,2004-07-01
"Reeves, Dickson and Villa",CleanTech,CleanTech Services,Ahmedabad,"Investor_78, Investor_27, Investor_81",Series D+,297098.45,2006-08-11
"Powers, Peterson and Phillips",FoodTech,FoodTech Services,Pune,Investor_84,Series C,4796318.4,2008-12-12
Branch-Perez,SaaS,SaaS Services,Pune,Investor_98,Series C,3362562.24,2017-12-27
Walters Ltd,FoodTech,FoodTech Services,Gurgaon,"Investor_22, Investor_21, Investor_82",Series A,2602531.81,2012-08-20
Parsons-Stokes,FoodTech,FoodTech Services,Chennai,Investor_71,Series A,2644873.19,2020-01-11
Alexander PLC,AgriTech,AgriTech Services,Gurgaon,Investor_2,Seed,2785764.36,2009-12-08
"Buck, Santiago and Clark",FinTech,FinTech Services,Gurgaon,"Investor_31, Investor_50, Investor_24",Series B,8531785.61,2019-04-20
Wu LLC,HealthTech,HealthTech Services,Delhi,"Investor_3, Investor_91, Investor_47",Series B,198036.45,2010-08-11
Murphy Inc,HealthTech,HealthTech Services,Chennai,"Investor_45, Investor_41",Series B,262133.87,2015-07-07
Gonzalez Inc,EdTech,EdTech Services,Ahmedabad,"Investor_35, Investor_16, Investor_15",Seed,1766230.41,2021-04-28
Jones Ltd,SaaS,SaaS Services,Chennai,"Investor_73, Investor_29, Investor_51",Series B,135601.58,2008-10-09
"Cox, Lee and Monroe",Logistics,Logistics Services,Kolkata,"Investor_49, Investor_24, Investor_91",Pre-Seed,863326.23,2003-12-07
Whitney-Wyatt,CleanTech,CleanTech Services,Noida,"Investor_56, Investor_62, Investor_34",Series C,10987130.59,2010-02-15
Rice-Trevino,E-Commerce,E-Commerce Services,Noida,"Investor_66, Investor_64, Investor_50",Series D+,1749013.18,2010-03-22
Wallace Ltd,CleanTech,CleanTech Services,Mumbai,"Investor_17, Investor_70",Pre-Seed,231659.67,2018-04-11
"Smith, Houston and Williams",AgriTech,AgriTech Services,Chennai,"Investor_52, Investor_12",Series B,1104695.69,2004-06-06
"Daniels, Barry and Newton",EdTech,EdTech Services,Kolkata,"Investor_31, Investor_94, Investor_62",Pre-Seed,738781.56,2011-04-13
"Horton, Smith and Edwards",AI/ML,AI/ML Services,Kolkata,Investor_99,Series A,197039.38,2011-06-26
"Young, Murray and Moore",HealthTech,HealthTech Services,Hyderabad,"Investor_71, Investor_75, Investor_15",Pre-Seed,13011155.49,2010-07-15
Flores Ltd,CleanTech,CleanTech Services,Noida,"Investor_57, Investor_55",Pre-Seed,2395178.66,2015-05-22
"Snyder, Wood and Wilson",E-Commerce,E-Commerce Services,Bengaluru,"Investor_14, Investor_15",Pre-Seed,1643200.97,2018-04-09
"Perez, Mcdaniel and Bradley",CleanTech,CleanTech Services,Bengaluru,"Investor_72, Investor_12",Series B,560400.38,2007-01-25
Kennedy Group,AI/ML,AI/ML Services,Noida,"Investor_97, Investor_27, Investor_84",Series D+,1793400.3,2013-06-16
"Cole, Sandoval and Thompson",AgriTech,AgriTech Services,Mumbai,"Investor_85, Investor_4, Investor_11",Seed,110925.27,2008-12-05
"Jones, Miller and Vaughn",AI/ML,AI/ML Services,Kolkata,Investor_26,Series C,2585552.91,2021-07-08
"Fernandez, Dickerson and Frederick",Logistics,Logistics Services,Pune,"Investor_80, Investor_40",Seed,284028.34,2016-01-28
"Harmon, Gonzalez and Jefferson",FinTech,FinTech Services,Kolkata,Investor_99,Series D+,2198198.51,2022-12-13
Guerra PLC,AI/ML,AI/ML Services,Kolkata,"Investor_78, Investor_96, Investor_34",Seed,917462.72,2020-05-08
Smith-Boyer,E-Commerce,E-Commerce Services,Bengaluru,"Investor_36, Investor_24, Investor_71",Series D+,96620.56,2013-01-16
Gordon-Howard,E-Commerce,E-Commerce Services,Pune,"Investor_93, Investor_1, Investor_41",Series B,147362.08,2007-12-21
Baker Ltd,SaaS,SaaS Services,Delhi,Investor_5,Seed,814430.56,2005-10-08
Jones-Clark,EdTech,EdTech Services,Hyderabad,"Investor_33, Investor_3, Investor_80",Pre-Seed,423725.17,2011-03-03
"Smith, Hoffman and Coleman",Logistics,Logistics Services,Pune,Investor_8,Series D+,149224.85,2017-03-04
"Schmitt, King and Moody",Logistics,Logistics Services,Bengaluru,"Investor_7, Investor_34, Investor_48",Series A,6836615.45,2022-03-14
"Ramos, Anderson and Alvarez",Logistics,Logistics Services,Kolkata,Investor_13,Pre-Seed,7009397.0,2013-05-19
"May, Ramirez and Smith",SaaS,SaaS Services,Pune,"Investor_12, Investor_27",Seed,828699.0,2014-12-22
Wood Group,Logistics,Logistics Services,Gurgaon,"Investor_42, Investor_62, Investor_14",Seed,1839157.93,2007-03-14
Rodriguez Ltd,EdTech,EdTech Services,Chennai,"Investor_64, Investor_14",Seed,98860569.81,2021-02-07
Schultz-Washington,AgriTech,AgriTech Services,Hyderabad,Investor_60,Pre-Seed,9301333.57,2011-10-03
Mayo and Sons,CleanTech,CleanTech Services,Bengaluru,"Investor_63, Investor_21, Investor_47",Series D+,6130699.78,2007-05-03
Pierce LLC,CleanTech,CleanTech Services,Chennai,"Investor_3, Investor_35",Series A,3121217.23,2005-12-17
Guzman and Sons,HealthTech,HealthTech Services,Mumbai,Investor_78,Seed,13328400.33,2011-12-14
Leonard-Gomez,Logistics,Logistics Services,Kolkata,Investor_37,Series D+,7222497.45,2021-09-12
Reed Inc,SaaS,SaaS Services,Pune,"Investor_11, Investor_98",Pre-Seed,3760526.23,2012-03-11
Ortiz Ltd,HealthTech,HealthTech Services,Kolkata,Investor_16,Series B,1686791.19,2017-07-04
Wood-Collins,FinTech,FinTech Services,Bengaluru,"Investor_43, Investor_30, Investor_74",Seed,7591154.6,2007-08-03
"Jones, Johnson and Villarreal",FoodTech,FoodTech Services,Kolkata,Investor_72,Series C,803604.36,2021-09-27
Suarez-Baldwin,AgriTech,AgriTech Services,Gurgaon,"Investor_96, Investor_31, Investor_40",Series B,348305.24,2011-04-10
Young-Carey,CleanTech,CleanTech Services,Delhi,"Investor_87, Investor_65, Investor_94",Pre-Seed,26891710.67,2019-04-11
Larson and Sons,EdTech,EdTech Services,Chennai,Investor_74,Seed,93900.19,2020-04-23
Sanders Ltd,HealthTech,HealthTech Services,Kolkata,Investor_28,Series A,410134.02,2006-02-05
Cruz-Peters,SaaS,SaaS Services,Ahmedabad,Investor_46,Pre-Seed,782089.88,2013-11-23
Clark LLC,HealthTech,HealthTech Services,Kolkata,"Investor_44, Investor_40",Seed,31403856.52,2016-10-25
"Reynolds, Pratt and Burns",HealthTech,HealthTech Services,Kolkata,"Investor_46, Investor_77",Series C,1890913.1,2007-09-01
Hernandez Group,E-Commerce,E-Commerce Services,Hyderabad,"Investor_67, Investor_51, Investor_97",Series C,859157.81,2015-11-06
"Davis, Young and Cook",Logistics,Logistics Services,Noida,"Investor_3, Investor_18, Investor_13",Series B,1081381.18,2014-03-07
Arroyo-Lewis,EdTech,EdTech Services,Pune,"Investor_58, Investor_47",Series D+,211988.09,2018-11-23
Erickson Ltd,Logistics,Logistics Services,Gurgaon,Investor_54,Series D+,2762138.89,2012-06-25
Sharp LLC,EdTech,EdTech Services,Bengaluru,Investor_86,Series C,520781.22,2010-01-16
Blair-Decker,AI/ML,AI/ML Services,Kolkata,"Investor_31, Investor_26",Pre-Seed,243173.5,2008-10-20
Fischer-Hughes,E-Commerce,E-Commerce Services,Gurgaon,Investor_7,Seed,564714.99,2013-04-07
Thompson Ltd,AI/ML,AI/ML Services,Mumbai,"Investor_37, Investor_98, Investor_76",Series D+,515216.59,2007-08-09
"Fitzpatrick, Bailey and Dorsey",AgriTech,AgriTech Services,Pune,"Investor_64, Investor_6",Series C,2543713.0,2022-02-01
Pierce PLC,Logistics,Logistics Services,Chennai,"Investor_47, Investor_12",Series A,269371.44,2010-10-03
Harris Inc,Logistics,Logistics Services,Bengaluru,Investor_20,Pre-Seed,981298.83,2008-05-20
House-Gordon,FinTech,FinTech Services,Pune,"Investor_65, Investor_42",Series C,7994682.16,2016-02-09
"Colon, Byrd and Wood",AgriTech,AgriTech Services,Chennai,"Investor_8, Investor_22, Investor_26",Series C,1826525.95,2010-12-24
Gibson Inc,SaaS,SaaS Services,Noida,"Investor_17, Investor_22",Series D+,6540654.02,2019-09-28
Atkinson PLC,SaaS,SaaS Services,Ahmedabad,Investor_48,Series B,55711.85,2010-07-16
Molina-Ferguson,HealthTech,HealthTech Services,Noida,"Investor_27, Investor_16",Pre-Seed,7114530.94,2016-05-20
Wilson-Wilkins,FoodTech,FoodTech Services,Hyderabad,"Investor_39, Investor_76, Investor_66",Seed,2272427.51,2011-02-24
"Thomas, Le and Lambert",CleanTech,CleanTech Services,Delhi,"Investor_38, Investor_85, Investor_58",Pre-Seed,1264892.73,2013-05-12
Sims Ltd,EdTech,EdTech Services,Bengaluru,"Investor_8, Investor_74, Investor_3",Seed,2337628.88,2004-09-12
Park-Farley,FinTech,FinTech Services,Kolkata,"Investor_13, Investor_33, Investor_98",Series A,338588.96,2022-12-18
Gray-Hernandez,AI/ML,AI/ML Services,Hyderabad,Investor_22,Series C,7808141.12,2012-05-01
Mercer LLC,HealthTech,HealthTech Services,Bengaluru,Investor_13,Series A,688382.94,2022-07-16
Bautista-Serrano,FoodTech,FoodTech Services,Pune,"Investor_23, Investor_97",Series B,105647.35,2003-07-08
Jones LLC,AI/ML,AI/ML Services,Bengaluru,"Investor_12, Investor_53, Investor_14",Series D+,1600741.31,2007-04-20
Grimes and Sons,EdTech,EdTech Services,Delhi,"Investor_61, Investor_41, Investor_40",Seed,301804.35,2014-09-12
Carey-Dodson,HealthTech,HealthTech Services,Mumbai,Investor_72,Seed,1770809.14,2007-06-28
"Medina, Walker and Ingram",E-Commerce,E-Commerce Services,Chennai,"Investor_33, Investor_60",Series B,167389.72,2017-02-02
Houston PLC,AI/ML,AI/ML Services,Bengaluru,"Investor_66, Investor_93",Series D+,736132.07,2003-11-24
Warner-Harrington,E-Commerce,E-Commerce Services,Delhi,Investor_45,Pre-Seed,3328450.14,2012-09-27
Johnson Ltd,AI/ML,AI/ML Services,Chennai,"Investor_61, Investor_69",Series B,287921.21,2006-03-19
"Lewis, Sandoval and Clark",AI/ML,AI/ML Services,Hyderabad,Investor_7,Series D+,2050760.91,2005-10-03
Copeland Ltd,SaaS,SaaS Services,Noida,Investor_71,Pre-Seed,1991682.79,2003-01-15
Wagner and Sons,AI/ML,AI/ML Services,Mumbai,"Investor_12, Investor_87",Series C,328845.29,2004-09-26
Morales Ltd,HealthTech,HealthTech Services,Kolkata,"Investor_76, Investor_85, Investor_29",Seed,7576277.22,2010-01-07
Strong-Hernandez,FoodTech,FoodTech Services,Ahmedabad,"Investor_46, Investor_79",Seed,193083.36,2004-06-11
"Long, Medina and Alexander",CleanTech,CleanTech Services,Noida,"Investor_39, Investor_24, Investor_56",Series A,22384084.83,2005-08-13
Matthews PLC,HealthTech,HealthTech Services,Hyderabad,"Investor_95, Investor_6",Pre-Seed,2217991.72,2016-03-04
"Mccormick, Vazquez and Ray",AI/ML,AI/ML Services,Pune,Investor_43,Series C,3395049.18,2004-09-20
"Robinson, Howard and Johnson",HealthTech,HealthTech Services,Ahmedabad,Investor_83,Seed,12831912.37,2021-02-20
Chavez-Quinn,CleanTech,CleanTech Services,Delhi,Investor_78,Series C,4451083.72,2007-02-09
Mitchell and Sons,HealthTech,HealthTech Services,Bengaluru,Investor_68,Series B,836429.83,2012-05-13
Frye Group,HealthTech,HealthTech Services,Kolkata,Investor_57,Series C,1753274.98,2007-04-05
"Cabrera, Anderson and Johnson",FinTech,FinTech Services,Ahmedabad,"Investor_67, Investor_4, Investor_77",Seed,41585.52,2019-09-02
Tucker Inc,AI/ML,AI/ML Services,Gurgaon,"Investor_67, Investor_7, Investor_32",Series B,48547.69,2008-03-13
Nicholson Ltd,AI/ML,AI/ML Services,Chennai,"Investor_40, Investor_66",Series B,1617934.35,2015-11-05
"Brown, York and Williams",EdTech,EdTech Services,Mumbai,"Investor_48, Investor_52",Seed,1018345.1,2004-11-12
"Foley, Daniel and Brown",SaaS,SaaS Services,Delhi,Investor_95,Series A,914672.24,2009-08-11
Black Group,EdTech,EdTech Services,Ahmedabad,"Investor_33, Investor_32",Pre-Seed,701825.54,2011-02-27
Lin-Brown,AI/ML,AI/ML Services,Chennai,"Investor_73, Investor_71, Investor_55",Series A,9814465.89,2022-11-14
"Kennedy, Miller and Chandler",SaaS,SaaS Services,Ahmedabad,Investor_30,Pre-Seed,7611464.12,2021-09-06
"Ramsey, Davidson and Gray",E-Commerce,E-Commerce Services,Chennai,Investor_91,Series D+,12103879.1,2007-05-01
Fisher-Galvan,SaaS,SaaS Services,Gurgaon,Investor_79,Series C,705417.22,2014-05-28
Brown-Ward,E-Commerce,E-Commerce Services,Hyderabad,"Investor_48, Investor_58",Seed,578150.6,2005-12-17
Armstrong PLC,Logistics,Logistics Services,Mumbai,"Investor_84, Investor_69, Investor_100",Series B,1604715.48,2022-05-25
Payne-Flores,AI/ML,AI/ML Services,Kolkata,"Investor_30, Investor_50",Series D+,13329456.38,2003-04-11
Hill-Marshall,Logistics,Logistics Services,Hyderabad,Investor_74,Series C,11647068.7,2003-10-17
Bradford and Sons,FoodTech,FoodTech Services,Mumbai,Investor_24,Series C,1872555.74,2013-01-11
Gould Inc,FoodTech,FoodTech Services,Delhi,Investor_15,Series A,2530359.29,2005-08-14
"Munoz, White and Harrison",E-Commerce,E-Commerce Services,Bengaluru,"Investor_71, Investor_21, Investor_82",Series D+,676072.31,2006-11-15
Harrison PLC,E-Commerce,E-Commerce Services,Pune,Investor_82,Seed,2146742.46,2005-05-08
"Mejia, Pierce and Lynch",Logistics,Logistics Services,Delhi,Investor_89,Series B,169000.13,2019-09-28
"Woods, Erickson and Wilson",AI/ML,AI/ML Services,Mumbai,Investor_18,Series D+,1435194.66,2021-12-03
Curtis-Hayden,SaaS,SaaS Services,Kolkata,"Investor_41, Investor_80, Investor_13",Seed,3473457.21,2013-03-18
"Myers, Ayala and Vaughan",SaaS,SaaS Services,Mumbai,"Investor_64, Investor_94, Investor_45",Seed,567755.37,2010-09-08
Rogers Ltd,FinTech,FinTech Services,Hyderabad,"Investor_12, Investor_94, Investor_82",Series A,135952.62,2008-05-25
Horton Ltd,CleanTech,CleanTech Services,Kolkata,"Investor_71, Investor_26",Series D+,552367.91,2015-01-17
Blair-Phillips,AI/ML,AI/ML Services,Mumbai,"Investor_40, Investor_89, Investor_95",Seed,811202.11,2014-03-12
Torres-Huang,AI/ML,AI/ML Services,Gurgaon,"Investor_40, Investor_78, Investor_92",Series D+,2657661.66,2007-02-20
"Gray, Hoover and Davis",CleanTech,CleanTech Services,Ahmedabad,"Investor_95, Investor_74",Series C,35189530.5,2016-03-16
Jenkins Group,HealthTech,HealthTech Services,Mumbai,"Investor_83, Investor_45",Pre-Seed,850732.2,2020-06-16
Jones and Sons,FoodTech,FoodTech Services,Bengaluru,Investor_30,Series A,15636032.02,2022-07-26
"Weber, Gomez and Lewis",FoodTech,FoodTech Services,Noida,"Investor_48, Investor_34, Investor_63",Series C,3384286.05,2011-01-27
"Phelps, Smith and Gonzalez",AgriTech,AgriTech Services,Chennai,"Investor_39, Investor_34, Investor_54",Series D+,2952490.9,2003-12-06
Long-Smith,AI/ML,AI/ML Services,Delhi,"Investor_14, Investor_89, Investor_55",Seed,7732680.14,2013-07-12
Reese-Miller,EdTech,EdTech Services,Hyderabad,"Investor_1, Investor_69",Seed,2058431.71,2014-07-11
Nichols-Jones,HealthTech,HealthTech Services,Mumbai,"Investor_19, Investor_45, Investor_55",Series B,441316.1,2021-05-27
"Hendricks, Aguilar and Long",Logistics,Logistics Services,Delhi,Investor_35,Series B,5631754.95,2012-01-14
"Chang, Duarte and Pratt",E-Commerce,E-Commerce Services,Noida,"Investor_5, Investor_99, Investor_62",Series A,2736178.16,2010-07-06
Brock LLC,HealthTech,HealthTech Services,Ahmedabad,"Investor_8, Investor_66, Investor_20",Pre-Seed,5437837.09,2015-07-13
Richardson-Dixon,HealthTech,HealthTech Services,Noida,"Investor_100, Investor_84, Investor_3",Pre-Seed,274310.91,2013-09-20
Jackson-Campbell,SaaS,SaaS Services,Gurgaon,Investor_36,Seed,1958612.5,2021-06-04
"Allen, Serrano and Goodwin",EdTech,EdTech Services,Kolkata,"Investor_77, Investor_57, Investor_21",Seed,4635219.93,2011-07-14
Patton PLC,EdTech,EdTech Services,Ahmedabad,"Investor_92, Investor_82",Series B,310814.26,2004-06-13
Gutierrez-Mathews,E-Commerce,E-Commerce Services,Mumbai,"Investor_69, Investor_2",Pre-Seed,348775.56,2011-05-04
Mcdonald-Cowan,AgriTech,AgriTech Services,Mumbai,"Investor_79, Investor_17, Investor_35",Pre-Seed,3856488.86,2013-09-27
"Holmes, Santiago and Everett",EdTech,EdTech Services,Bengaluru,"Investor_5, Investor_8",Series C,2822115.58,2014-11-20
"Hill, Colon and Turner",FoodTech,FoodTech Services,Delhi,"Investor_74, Investor_73",Series C,890087.85,2014-01-05
Turner-Brown,Logistics,Logistics Services,Chennai,"Investor_15, Investor_9, Investor_70",Pre-Seed,450172.24,2010-01-26
Owens-Luna,HealthTech,HealthTech Services,Kolkata,Investor_3,Seed,3397203.93,2021-05-07
"Robinson, Spencer and Williams",SaaS,SaaS Services,Delhi,"Investor_91, Investor_58, Investor_25",Pre-Seed,1153302.18,2021-11-01
Wolfe-Evans,FoodTech,FoodTech Services,Hyderabad,"Investor_43, Investor_73, Investor_94",Pre-Seed,80804.08,2009-03-23
Huff-Owens,E-Commerce,E-Commerce Services,Noida,Investor_49,Pre-Seed,2740532.43,2010-06-08
Gonzalez Group,AI/ML,AI/ML Services,Chennai,"Investor_6, Investor_46, Investor_79",Series A,2102119.81,2014-01-18
Flores-Torres,AgriTech,AgriTech Services,Hyderabad,"Investor_91, Investor_22",Pre-Seed,502901.36,2022-08-02
Brown-Powers,FoodTech,FoodTech Services,Kolkata,"Investor_99, Investor_40",Series C,7845726.88,2003-05-04
"Sanchez, Ortega and Perry",EdTech,EdTech Services,Mumbai,"Investor_38, Investor_48, Investor_63",Pre-Seed,119666.04,2021-12-26
"Murillo, Choi and Payne",FoodTech,FoodTech Services,Kolkata,Investor_3,Series C,3965171.43,2013-05-23
